Description,Scientific Name,Common Name,Taxid,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
Yersinia pestis strain FDAARGOS_601 plasmid unnamed3,Yersinia pestis,NA,632,688,688,100%,0.0,98.96,132950,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP033700.1?report=genbank&log$=nucltop&blast_rank=91&RID=UXBJAYZS014"",""CP033700.1"")"
"Yersinia pestis Z176003 plasmid pMT1, complete sequence",Yersinia pestis Z176003,NA,637386,688,688,99%,0.0,99.21,94251,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP001595.1?report=genbank&log$=nucltop&blast_rank=92&RID=UXBJAYZS014"",""CP001595.1"")"
"Yersinia pestis strain 41006 plasmid pMT1, complete sequence",Yersinia pestis,NA,632,688,688,100%,0.0,98.96,100979,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177418.1?report=genbank&log$=nucltop&blast_rank=93&RID=UXBJAYZS014"",""CP177418.1"")"
"Yersinia pestis strain 45018 plasmid pMT1, complete sequence",Yersinia pestis,NA,632,688,688,100%,0.0,98.96,99021,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177459.1?report=genbank&log$=nucltop&blast_rank=94&RID=UXBJAYZS014"",""CP177459.1"")"
"Yersinia pestis strain 177 plasmid pFra, complete sequence",Yersinia pestis,NA,632,688,688,100%,0.0,98.96,98951,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP151628.1?report=genbank&log$=nucltop&blast_rank=95&RID=UXBJAYZS014"",""CP151628.1"")"
"Yersinia pestis strain 98008 plasmid pMT1, complete sequence",Yersinia pestis,NA,632,688,688,100%,0.0,98.96,100632,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177864.1?report=genbank&log$=nucltop&blast_rank=96&RID=UXBJAYZS014"",""CP177864.1"")"
"Yersinia pestis strain J270009 plasmid pMT1, complete sequence",Yersinia pestis,NA,632,688,688,100%,0.0,98.96,100915,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177668.1?report=genbank&log$=nucltop&blast_rank=97&RID=UXBJAYZS014"",""CP177668.1"")"
"Yersinia pestis strain 84030 plasmid pMT1, complete sequence",Yersinia pestis,NA,632,688,688,99%,0.0,99.21,96045,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177744.1?report=genbank&log$=nucltop&blast_rank=98&RID=UXBJAYZS014"",""CP177744.1"")"
"Yersinia pestis strain 109 plasmid pMT1, complete sequence",Yersinia pestis,NA,632,688,688,99%,0.0,99.21,106991,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP196698.1?report=genbank&log$=nucltop&blast_rank=99&RID=UXBJAYZS014"",""CP196698.1"")"
"Yersinia pestis Pestoides F plasmid pMT, complete sequence",Yersinia pestis Pestoides F,NA,386656,688,688,99%,0.0,99.21,136983,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP009714.1?report=genbank&log$=nucltop&blast_rank=100&RID=UXBJAYZS014"",""CP009714.1"")"



		


